WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,class
18,18,0,94.44,55.56,27.78,16.67,11.11,0,5.56,0,0,11.11,5.56,16.67,5.56,11.11,5.56,0,0,11.11,5.56,0,0,0,5.56,22.22,0,5.56,0,16.67,11.11,5.56,0,5.56,0,5.56,0,0,0,0,0,0,5.56,0,5.56,5.56,0,0,5.56,0,0,5.56,0,5.56,0,5.56,0,5.56,0,0,0,0,0,0,5.56,0,0,yes
6,6,0,100,50,16.67,16.67,0,0,16.67,0,0,0,16.67,33.33,16.67,0,33.33,0,0,0,0,0,0,0,16.67,16.67,0,0,0,33.33,0,33.33,0,16.67,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,yes
10,10,0,100,60,30,20,0,0,20,0,0,10,0,10,10,0,0,10,10,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,10,0,0,0,10,10,0,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,10,yes
8,8,12.5,100,37.5,12.5,12.5,0,0,12.5,0,0,0,0,37.5,12.5,25,12.5,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,25,0,0,25,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,yes
3,3,0,66.67,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,66.67,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
11,11,9.09,90.91,36.36,18.18,9.09,0,0,9.09,0,0,9.09,0,27.27,9.09,0,27.27,0,0,9.09,0,9.09,0,0,18.18,9.09,0,0,0,9.09,0,9.09,0,9.09,0,18.18,0,9.09,9.09,0,0,0,0,0,0,0,0,0,18.18,18.18,9.09,9.09,9.09,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,yes
17,17,29.41,88.24,52.94,17.65,11.76,0,0,0,0,11.76,5.88,0,17.65,5.88,0,11.76,5.88,5.88,5.88,11.76,0,0,5.88,11.76,11.76,0,0,0,23.53,0,23.53,0,23.53,0,23.53,5.88,0,11.76,5.88,0,0,0,11.76,0,0,0,0,5.88,0,0,5.88,0,17.65,0,5.88,11.76,0,5.88,0,0,0,5.88,11.76,0,0,0,yes
3,3,0,100,33.33,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,66.67,0,66.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
3,3,33.33,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,66.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,yes
20,20,5,95,60,20,15,10,0,0,5,0,5,10,15,15,0,5,5,5,10,5,0,0,0,20,10,0,0,0,15,0,15,0,15,0,15,0,0,10,5,5,0,5,5,0,0,0,0,15,15,5,0,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,yes
12,12,8.33,83.33,33.33,16.67,0,0,0,0,0,0,16.67,0,8.33,0,8.33,0,0,0,0,8.33,0,0,8.33,16.67,0,0,0,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,8.33,0,8.33,0,0,0,33.33,16.67,8.33,8.33,25,8.33,0,0,16.67,0,0,0,0,0,0,0,0,0,8.33,yes
9,9,11.11,100,22.22,11.11,11.11,0,0,11.11,0,0,0,0,22.22,0,0,22.22,0,0,0,0,0,11.11,0,44.44,11.11,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,22.22,0,44.44,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,yes
7,7,28.57,100,42.86,28.57,28.57,14.29,0,14.29,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,14.29,0,0,0,28.57,14.29,14.29,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,yes
15,15,13.33,93.33,60,6.67,0,0,0,0,0,0,6.67,0,46.67,26.67,13.33,13.33,6.67,0,13.33,6.67,13.33,0,0,20,13.33,0,0,6.67,13.33,0,13.33,0,13.33,0,33.33,0,0,6.67,0,0,0,13.33,13.33,0,0,0,0,13.33,6.67,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
16,16,6.25,68.75,56.25,25,18.75,0,0,18.75,0,0,6.25,0,0,0,0,0,0,0,12.5,18.75,0,6.25,0,0,18.75,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,6.25,0,0,0,6.25,0,0,0,0,6.25,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,yes
22,22,13.64,90.91,54.55,13.64,9.09,4.55,0,4.55,0,0,4.55,9.09,18.18,18.18,0,9.09,4.55,4.55,13.64,4.55,4.55,0,0,9.09,4.55,0,0,0,18.18,4.55,13.64,0,9.09,4.55,9.09,0,0,4.55,4.55,0,0,0,9.09,0,0,0,0,9.09,4.55,0,4.55,0,4.55,0,0,4.55,0,0,0,0,0,0,4.55,4.55,0,0,yes
23,23,4.35,86.96,56.52,21.74,17.39,4.35,0,13.04,0,0,4.35,13.04,13.04,8.7,0,13.04,0,0,0,13.04,0,0,0,8.7,21.74,0,0,4.35,4.35,0,4.35,0,0,0,13.04,4.35,0,4.35,8.7,0,0,4.35,4.35,0,0,0,0,17.39,8.7,4.35,13.04,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,yes
11,11,0,100,72.73,27.27,18.18,9.09,0,9.09,0,0,9.09,0,27.27,27.27,0,18.18,9.09,18.18,0,9.09,0,0,0,0,9.09,0,0,0,18.18,9.09,9.09,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,9.09,9.09,0,0,yes
15,15,13.33,86.67,40,33.33,33.33,6.67,6.67,20,0,0,0,0,13.33,13.33,0,0,13.33,0,0,0,0,0,0,13.33,26.67,0,0,0,26.67,0,26.67,0,26.67,0,0,0,0,0,0,0,0,0,0,13.33,13.33,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,13.33,0,0,0,yes
9,9,11.11,88.89,55.56,22.22,22.22,11.11,0,11.11,0,0,0,0,44.44,11.11,0,33.33,11.11,11.11,0,11.11,0,11.11,0,11.11,22.22,0,0,0,22.22,11.11,11.11,0,11.11,0,33.33,0,11.11,11.11,11.11,0,0,0,0,11.11,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
6,6,0,100,66.67,33.33,33.33,0,16.67,0,16.67,0,0,0,16.67,16.67,0,0,16.67,0,0,0,0,16.67,0,0,50,16.67,0,0,16.67,0,16.67,0,16.67,0,33.33,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,0,0,0,yes
14,14,7.14,78.57,35.71,14.29,7.14,7.14,0,0,0,0,7.14,0,7.14,0,7.14,0,0,7.14,0,14.29,0,7.14,0,14.29,7.14,0,0,7.14,0,0,0,0,0,0,21.43,0,7.14,0,7.14,0,0,7.14,0,7.14,0,0,7.14,14.29,7.14,0,14.29,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,yes
5,5,40,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,20,0,20,0,20,0,0,0,0,0,0,20,0,20,0,0,0,20,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
19,19,15.79,94.74,57.89,26.32,15.79,5.26,0,0,0,10.53,10.53,0,0,0,0,0,0,10.53,15.79,10.53,0,0,0,5.26,10.53,0,0,0,21.05,0,21.05,5.26,10.53,0,21.05,0,0,0,5.26,5.26,0,5.26,5.26,0,0,0,0,15.79,0,0,15.79,0,26.32,0,15.79,10.53,0,0,0,0,0,0,5.26,0,0,0,yes
10,10,0,100,70,10,10,0,0,10,0,0,0,10,20,20,0,20,0,0,20,0,20,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,yes
15,15,6.67,66.67,40,6.67,0,0,0,0,0,0,6.67,0,13.33,13.33,0,0,0,6.67,6.67,6.67,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,13.33,0,0,13.33,6.67,0,0,0,6.67,0,0,0,0,20,13.33,0,13.33,6.67,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,6.67,yes
20,20,0,90,55,20,15,5,0,5,5,0,5,0,10,10,0,10,0,10,10,10,0,0,0,15,10,0,0,0,5,5,0,0,0,0,10,0,0,5,5,0,0,0,10,0,0,0,0,25,20,10,15,5,5,5,0,0,0,0,0,0,0,0,0,5,5,0,yes
10,10,10,90,40,20,20,10,0,0,0,10,0,0,10,0,0,10,0,0,10,10,0,0,0,0,20,0,0,10,20,0,20,0,20,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,yes
24,24,4.17,87.5,50,29.17,25,16.67,0,8.33,0,0,4.17,0,4.17,0,0,4.17,0,4.17,12.5,4.17,0,0,0,12.5,16.67,0,0,0,16.67,0,16.67,0,12.5,4.17,12.5,0,0,4.17,0,0,0,4.17,4.17,0,0,0,0,8.33,4.17,0,8.33,0,12.5,4.17,8.33,0,0,0,0,0,0,0,4.17,0,0,0,yes
9,9,22.22,88.89,77.78,33.33,22.22,0,0,0,0,22.22,11.11,0,11.11,11.11,0,0,11.11,0,11.11,0,0,22.22,0,0,33.33,0,0,0,0,0,0,0,0,0,44.44,0,0,11.11,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,yes
5,5,20,100,60,20,20,0,0,20,0,0,0,0,20,20,0,0,20,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,40,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,20,0,0,0,yes
21,21,9.52,95.24,38.1,9.52,4.76,0,0,4.76,0,0,4.76,0,19.05,19.05,0,4.76,14.29,0,4.76,4.76,4.76,4.76,0,14.29,4.76,0,0,0,0,0,0,0,0,0,19.05,0,4.76,9.52,0,0,0,4.76,0,4.76,0,0,0,38.1,14.29,4.76,14.29,19.05,4.76,4.76,0,4.76,0,0,4.76,0,0,0,0,0,0,4.76,yes
15,15,0,100,40,26.67,20,6.67,0,13.33,0,0,6.67,0,20,6.67,0,20,0,0,0,6.67,0,0,0,6.67,13.33,0,0,0,20,6.67,13.33,0,6.67,0,13.33,6.67,0,6.67,13.33,0,0,0,6.67,13.33,6.67,0,6.67,20,6.67,13.33,6.67,6.67,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,yes
5,5,0,80,40,0,0,0,0,0,0,0,0,20,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
9,9,0,77.78,22.22,22.22,22.22,11.11,0,11.11,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,11.11,22.22,0,0,0,22.22,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,11.11,11.11,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,yes
8,8,0,100,75,25,25,12.5,0,0,0,12.5,0,0,12.5,12.5,0,0,12.5,12.5,12.5,12.5,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,12.5,0,50,0,0,12.5,25,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,yes
7,7,14.29,100,57.14,14.29,14.29,0,0,0,0,14.29,0,14.29,14.29,14.29,0,0,14.29,0,0,0,0,14.29,0,0,14.29,0,0,0,14.29,0,14.29,14.29,0,0,28.57,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,yes
26,26,19.23,96.15,73.08,26.92,23.08,7.69,0,15.38,0,0,3.85,3.85,26.92,19.23,0,19.23,7.69,3.85,7.69,11.54,0,0,0,0,19.23,0,0,0,7.69,0,7.69,0,3.85,0,19.23,0,3.85,3.85,3.85,3.85,0,3.85,3.85,3.85,3.85,0,0,3.85,0,3.85,0,0,3.85,3.85,0,0,3.85,0,0,0,0,0,3.85,0,0,0,yes
14,14,7.14,85.71,50,21.43,14.29,14.29,0,0,0,0,7.14,0,28.57,7.14,7.14,21.43,0,0,21.43,14.29,0,0,0,14.29,0,0,0,0,28.57,14.29,14.29,0,14.29,0,21.43,0,0,0,0,0,0,14.29,7.14,0,0,0,0,7.14,0,0,7.14,0,21.43,7.14,14.29,0,0,0,0,0,0,0,0,0,0,0,yes
9,9,0,100,77.78,33.33,22.22,11.11,0,11.11,0,0,11.11,0,22.22,11.11,0,11.11,11.11,22.22,11.11,11.11,0,0,11.11,22.22,11.11,0,0,0,11.11,0,11.11,0,11.11,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
13,13,0,100,69.23,30.77,30.77,0,0,15.38,15.38,0,0,0,15.38,15.38,0,0,7.69,0,15.38,0,7.69,0,0,7.69,30.77,0,0,0,15.38,7.69,7.69,7.69,0,0,15.38,0,0,7.69,0,0,0,0,7.69,0,0,0,0,23.08,7.69,0,15.38,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,yes
7,7,14.29,85.71,14.29,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,28.57,0,28.57,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,14.29,0,42.86,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
17,17,17.65,70.59,58.82,5.88,5.88,5.88,0,0,0,0,0,11.76,17.65,11.76,5.88,0,5.88,5.88,17.65,5.88,5.88,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,yes
17,17,23.53,82.35,35.29,17.65,17.65,0,0,0,0,17.65,0,0,5.88,0,0,5.88,0,0,0,17.65,0,0,0,0,29.41,5.88,0,5.88,11.76,0,11.76,0,11.76,0,17.65,0,0,0,0,0,0,17.65,0,0,0,0,0,11.76,5.88,5.88,5.88,5.88,5.88,5.88,0,0,0,0,0,0,0,5.88,5.88,0,0,0,yes
5,5,0,100,80,40,20,0,0,20,0,0,20,0,20,20,0,0,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,yes
23,23,4.35,78.26,34.78,21.74,21.74,0,0,21.74,0,0,0,0,21.74,4.35,0,21.74,0,0,8.7,0,0,0,0,4.35,34.78,0,0,13.04,13.04,4.35,8.7,0,8.7,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,4.35,0,0,4.35,0,8.7,4.35,4.35,0,0,0,0,0,0,0,0,4.35,0,0,yes
16,16,0,100,68.75,37.5,37.5,18.75,0,18.75,0,0,0,0,31.25,18.75,0,12.5,18.75,0,6.25,6.25,0,0,0,0,25,0,0,0,6.25,0,6.25,0,6.25,0,25,12.5,0,6.25,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,yes
18,18,11.11,94.44,61.11,16.67,16.67,0,5.56,11.11,0,0,0,5.56,5.56,5.56,0,0,0,16.67,11.11,5.56,0,0,5.56,11.11,27.78,0,0,5.56,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,16.67,11.11,0,16.67,0,11.11,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,yes
18,18,5.56,100,50,27.78,27.78,5.56,0,11.11,11.11,0,0,5.56,16.67,11.11,0,16.67,0,5.56,0,5.56,11.11,0,0,11.11,38.89,0,0,5.56,11.11,0,11.11,0,11.11,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,11.11,0,11.11,11.11,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,yes
15,15,6.67,86.67,40,13.33,13.33,6.67,0,6.67,0,0,0,13.33,0,0,0,0,0,0,6.67,0,0,6.67,0,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,13.33,6.67,6.67,20,6.67,0,0,13.33,0,0,0,0,0,0,0,0,0,6.67,yes
8,8,0,62.5,50,25,25,0,12.5,0,0,12.5,0,0,12.5,12.5,0,0,12.5,0,0,0,0,12.5,0,0,25,0,0,0,12.5,0,12.5,0,12.5,0,37.5,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,yes
16,16,0,87.5,62.5,31.25,6.25,0,0,6.25,0,0,25,0,25,18.75,0,18.75,6.25,12.5,0,0,0,0,0,6.25,6.25,0,0,0,12.5,6.25,6.25,0,6.25,0,18.75,0,0,6.25,0,0,0,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,yes
22,22,9.09,86.36,59.09,13.64,13.64,4.55,0,0,9.09,0,0,9.09,13.64,13.64,0,4.55,4.55,0,13.64,4.55,4.55,4.55,0,0,18.18,0,0,0,4.55,0,4.55,0,0,0,13.64,0,0,4.55,0,0,0,0,9.09,4.55,0,4.55,0,9.09,4.55,0,9.09,0,18.18,4.55,13.64,0,0,0,0,0,0,0,0,0,0,0,yes
14,14,7.14,92.86,50,35.71,14.29,0,0,14.29,0,0,21.43,0,28.57,7.14,0,21.43,7.14,0,7.14,0,0,0,0,14.29,14.29,0,0,0,14.29,7.14,7.14,0,7.14,0,35.71,21.43,7.14,7.14,7.14,0,0,0,0,7.14,0,0,7.14,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
22,22,9.09,86.36,40.91,13.64,13.64,9.09,0,0,4.55,0,0,4.55,13.64,9.09,0,9.09,0,4.55,4.55,4.55,0,4.55,0,22.73,9.09,4.55,0,0,27.27,0,27.27,0,13.64,4.55,9.09,0,0,4.55,0,4.55,0,0,0,0,0,0,0,22.73,18.18,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
17,17,5.88,82.35,52.94,11.76,11.76,0,0,0,11.76,0,0,5.88,17.65,5.88,0,17.65,0,11.76,5.88,0,0,5.88,5.88,5.88,23.53,0,0,0,5.88,0,5.88,0,5.88,0,5.88,0,0,0,0,0,0,0,5.88,11.76,0,11.76,0,5.88,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
22,22,4.55,81.82,45.45,9.09,9.09,0,0,0,9.09,0,0,13.64,18.18,9.09,0,9.09,0,0,13.64,0,0,0,0,9.09,18.18,0,0,9.09,4.55,0,4.55,0,4.55,0,4.55,0,0,0,4.55,0,0,0,0,4.55,4.55,0,0,9.09,4.55,0,9.09,0,4.55,0,4.55,4.55,0,0,0,0,0,0,0,0,0,4.55,yes
23,23,4.35,95.65,52.17,21.74,17.39,8.7,0,8.7,0,0,4.35,4.35,4.35,4.35,0,4.35,0,13.04,4.35,13.04,0,0,0,0,8.7,0,0,0,39.13,8.7,30.43,0,8.7,0,8.7,0,4.35,0,0,0,0,0,4.35,0,0,0,0,26.09,0,0,26.09,0,4.35,0,4.35,0,0,0,0,0,0,0,0,8.7,0,0,yes
9,9,11.11,88.89,55.56,11.11,11.11,0,0,11.11,0,0,0,11.11,11.11,0,0,11.11,0,11.11,0,11.11,0,0,11.11,11.11,11.11,0,0,0,22.22,0,22.22,0,11.11,0,11.11,0,0,11.11,11.11,0,0,0,11.11,0,0,0,0,11.11,11.11,11.11,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,yes
27,27,14.81,70.37,44.44,11.11,11.11,7.41,0,3.7,0,0,0,7.41,7.41,7.41,0,7.41,0,7.41,14.81,3.7,0,0,14.81,0,3.7,0,0,0,7.41,0,7.41,0,3.7,0,3.7,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,22.22,0,14.81,7.41,0,0,0,0,0,0,3.7,0,0,0,yes
6,6,16.67,50,33.33,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,16.67,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
